 * Epoch 0: time=2.27s, test_loss=0.376, train_loss=0.376
 * Epoch 1: time=2.24s, test_loss=0.373, train_loss=0.373
 * Epoch 2: time=2.25s, test_loss=0.373, train_loss=0.373
 * Epoch 3: time=2.27s, test_loss=0.372, train_loss=0.372
 * Epoch 4: time=2.41s, test_loss=0.372, train_loss=0.372
 * Epoch 5: time=2.35s, test_loss=0.372, train_loss=0.372
 * Epoch 6: time=2.24s, test_loss=0.372, train_loss=0.372
 * Epoch 7: time=2.39s, test_loss=0.372, train_loss=0.372
 * Epoch 8: time=2.47s, test_loss=0.371, train_loss=0.371
 * Epoch 9: time=2.45s, test_loss=0.372, train_loss=0.372
 * Epoch 10: time=2.40s, test_loss=0.371, train_loss=0.371
 * Epoch 11: time=2.45s, test_loss=0.371, train_loss=0.371
 * Epoch 12: time=2.43s, test_loss=0.372, train_loss=0.372
 * Epoch 13: time=2.47s, test_loss=0.372, train_loss=0.372
 * Epoch 14: time=2.42s, test_loss=0.372, train_loss=0.372
 * Epoch 15: time=2.49s, test_loss=0.371, train_loss=0.371
 * Epoch 16: time=2.49s, test_loss=0.372, train_loss=0.372
 * Epoch 17: time=2.45s, test_loss=0.371, train_loss=0.371
 * Epoch 18: time=2.52s, test_loss=0.372, train_loss=0.372
 * Epoch 19: time=2.47s, test_loss=0.371, train_loss=0.371
 * Epoch 20: time=2.48s, test_loss=0.371, train_loss=0.371
 * Epoch 21: time=2.47s, test_loss=0.371, train_loss=0.371
 * Epoch 22: time=2.53s, test_loss=0.372, train_loss=0.372
 * Epoch 23: time=2.43s, test_loss=0.371, train_loss=0.371
 * Epoch 24: time=2.43s, test_loss=0.373, train_loss=0.373
 * Epoch 25: time=2.43s, test_loss=0.372, train_loss=0.372
 * Epoch 26: time=2.47s, test_loss=0.371, train_loss=0.371
 * Epoch 27: time=2.48s, test_loss=0.371, train_loss=0.371
 * Epoch 28: time=2.53s, test_loss=0.371, train_loss=0.371
 * Epoch 29: time=2.60s, test_loss=0.371, train_loss=0.371
 * Epoch 30: time=2.44s, test_loss=0.372, train_loss=0.372
 * Epoch 31: time=2.47s, test_loss=0.370, train_loss=0.370
 * Epoch 32: time=2.40s, test_loss=0.371, train_loss=0.371
 * Epoch 33: time=2.50s, test_loss=0.371, train_loss=0.371
 * Epoch 34: time=2.47s, test_loss=0.372, train_loss=0.372
 * Epoch 35: time=2.44s, test_loss=0.370, train_loss=0.370
 * Epoch 36: time=2.46s, test_loss=0.370, train_loss=0.370
 * Epoch 37: time=2.57s, test_loss=0.371, train_loss=0.371
 * Epoch 38: time=2.48s, test_loss=0.372, train_loss=0.372
 * Epoch 39: time=2.51s, test_loss=0.371, train_loss=0.371
 * Epoch 40: time=2.50s, test_loss=0.370, train_loss=0.370
 * Epoch 41: time=2.42s, test_loss=0.371, train_loss=0.371
 * Epoch 42: time=2.59s, test_loss=0.370, train_loss=0.370
 * Epoch 43: time=2.48s, test_loss=0.370, train_loss=0.370
 * Epoch 44: time=2.55s, test_loss=0.370, train_loss=0.370
 * Epoch 45: time=2.45s, test_loss=0.370, train_loss=0.370
 * Epoch 46: time=2.50s, test_loss=0.370, train_loss=0.370
 * Epoch 47: time=2.55s, test_loss=0.371, train_loss=0.371
 * Epoch 48: time=2.56s, test_loss=0.371, train_loss=0.371
 * Epoch 49: time=2.62s, test_loss=0.371, train_loss=0.371
 * Epoch 50: time=2.44s, test_loss=0.370, train_loss=0.370
 * Epoch 51: time=2.51s, test_loss=0.370, train_loss=0.370
 * Epoch 52: time=2.49s, test_loss=0.372, train_loss=0.372
 * Epoch 53: time=2.45s, test_loss=0.369, train_loss=0.369
 * Epoch 54: time=2.60s, test_loss=0.370, train_loss=0.370
 * Epoch 55: time=2.45s, test_loss=0.370, train_loss=0.370
 * Epoch 56: time=2.46s, test_loss=0.370, train_loss=0.370
 * Epoch 57: time=2.58s, test_loss=0.371, train_loss=0.371
 * Epoch 58: time=2.54s, test_loss=0.371, train_loss=0.371
 * Epoch 59: time=2.43s, test_loss=0.370, train_loss=0.370
 * Epoch 60: time=2.52s, test_loss=0.370, train_loss=0.370
 * Epoch 61: time=2.45s, test_loss=0.370, train_loss=0.370
 * Epoch 62: time=2.53s, test_loss=0.370, train_loss=0.370
 * Epoch 63: time=2.52s, test_loss=0.369, train_loss=0.369
 * Epoch 64: time=2.44s, test_loss=0.371, train_loss=0.371
 * Epoch 65: time=2.48s, test_loss=0.370, train_loss=0.370
 * Epoch 66: time=2.55s, test_loss=0.369, train_loss=0.369
 * Epoch 67: time=2.53s, test_loss=0.370, train_loss=0.370
 * Epoch 68: time=2.48s, test_loss=0.369, train_loss=0.369
 * Epoch 69: time=2.56s, test_loss=0.369, train_loss=0.369
 * Epoch 70: time=2.51s, test_loss=0.369, train_loss=0.369
 * Epoch 71: time=2.49s, test_loss=0.369, train_loss=0.369
 * Epoch 72: time=2.54s, test_loss=0.369, train_loss=0.369
 * Epoch 73: time=2.66s, test_loss=0.370, train_loss=0.370
 * Epoch 74: time=2.46s, test_loss=0.370, train_loss=0.370
 * Epoch 75: time=2.49s, test_loss=0.369, train_loss=0.369
 * Epoch 76: time=2.47s, test_loss=0.370, train_loss=0.370
 * Epoch 77: time=2.49s, test_loss=0.369, train_loss=0.369
 * Epoch 78: time=2.42s, test_loss=0.369, train_loss=0.369
 * Epoch 79: time=2.56s, test_loss=0.369, train_loss=0.369
 * Epoch 80: time=2.48s, test_loss=0.369, train_loss=0.369
 * Epoch 81: time=2.54s, test_loss=0.369, train_loss=0.369
 * Epoch 82: time=2.59s, test_loss=0.370, train_loss=0.370
 * Epoch 83: time=2.45s, test_loss=0.368, train_loss=0.368
 * Epoch 84: time=2.56s, test_loss=0.369, train_loss=0.369
 * Epoch 85: time=2.51s, test_loss=0.368, train_loss=0.368
 * Epoch 86: time=2.49s, test_loss=0.368, train_loss=0.368
 * Epoch 87: time=2.48s, test_loss=0.369, train_loss=0.369
 * Epoch 88: time=2.49s, test_loss=0.370, train_loss=0.370
 * Epoch 89: time=2.43s, test_loss=0.368, train_loss=0.368
 * Epoch 90: time=2.57s, test_loss=0.371, train_loss=0.371
 * Epoch 91: time=2.59s, test_loss=0.369, train_loss=0.369
 * Epoch 92: time=2.54s, test_loss=0.368, train_loss=0.368
 * Epoch 93: time=2.48s, test_loss=0.369, train_loss=0.369
